ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Nothofagus_dombeyi_type,Nothofagus_obliqua_type,Maytenus,Podocarpus,Saxegothea,Weinmannia_trichosperma,Eucryphia_/_Tepualia,Drimys_winteri,Misodendrum,Berberis,Embothrium_coccineum,Fuchsia,Myrteola_nummularia,Poaceae,Empetrum_rubrum,Gaultheria,Asteraceae_Subf._Asteroideae,Asteraceae_Subf._Cichoriodeae,Artemisia,Anthemsis,Naussavia,Caryophyllaceae,Amaranthaceae,Cardamine_glacialis,Codonorchis,Crassula,Brassicaceae,Donatia_fascicularis,Gentianella,Gunnera,Acaena,Ranunculus_type,Anemone,Caltha_type,Geum_magellanicum,Potentilla_anserina,Rumex_acetosella,Plantago,Litorella,Aristotelia_chilensis,Armeria,Azara/Microcala,Elodea,Escallonia_rosea,Frankenia,Fabaceae,Lathyrus,Lonicera,Myrica_pavonis,Netera_depressa,Oldenlandia_uniflora,Phacelia,Pinguicula,Primulaceae,Portulaceae_(Calandrinia),Rhamnaceae,Ribes,Galium_type,Lythrum,Saxifragaceae,Schrophulariaceae,Solanaceae,Grabowskia,Apiaceae,Urtica,Valeriana,Valerianella,Polygonum,Viola,Cyperaceae,Unidentified,Myriophyllum,Sphagnum,Drosera_uniflora,Polypodiaceae,Polypodiaceae_-_trilete,Sysirinchium,Lycopodium,Pediastrum,Tephra,Charcoal_25um,Charcoal_25-50um,Charcoal_50-75um,Charcoal_75-100um,Charcoal_101um,Lycopodium_spike,Lycopodium_tablets,Lycopodium_tablets,Sample_quantity,Trees_and_Shrubs,Dwarf_Shrubs,Cyperaceae,Unidentifed,Aquatics_and_Spores,Algae,Tephra,Charcoal,Total_Land_Pollen,Cyperaceae+TLP,Unidentified+TLP,Aquatics_and_Spores+TLP,Algae+TLP,Tephra+TLP,Charcoal+TLP
Unit,cm,cm,cm,cm,cal a BP,cal a BP,cal a BP,cal a BP,cm yr-1,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,number,number,number/tablet,ml,percent,percent,percent,percent,percent,percent,percent,percent,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3,grains cm-3
Method,,,,,,,,,,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,quantity added,concentration,volume,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted,counted
Pollen Code,,,,,,,,,,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,C,D,E1,E2,E3,E4,E5,E6,E7,F,G,H1,H2,H3,H4,H5,CONC,CONC,CONC,CONC,P,P,Q,R,S,T,U,V,A;B,A;B;C,A;B;D,A;B;E,A;B;F,A;B;G,A;B;H
LP08_P1,LP08-SC,0.5,1,0.8,-49.24,-10.55,-33.71,-32.78,0.033044197,7820.8,0,0,0,0,0,0,0,345.5,0,0,0,0,942.3,31.4,0,62.8,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.6,471.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4,31.4,0,0,31.4,0,0,0,0,0,0,0,0,0,188.5,0,0,0,62.8,0,0,0,31.4,502.5,0,31.4,0,31.4,0,0,340,1,10679,1,8166.3,1758.9,188.5,0,94.2,502.5,0,62.8,9925.2,10113.6,9925.2,10019.4,10427.7,9925.2,9988
LP08_P2,LP08-SC,4.5,5,4.8,-10.41,219.05,82.67,88.27,0.033041788,28719.3,103.7,0,103.7,0,0,0,0,1244.2,0,0,0,0,3628.8,0,0,103.7,311,0,0,0,103.7,0,0,0,0,0,0,0,0,207.4,0,0,0,0,0,518.4,1347.8,0,0,0,0,0,0,0,103.7,0,0,0,0,0,0,0,0,0,0,0,103.7,0,0,0,0,0,103.7,0,0,0,0,0,1658.9,0,0,0,0,103.7,0,0,0,1658.9,0,0,103.7,0,0,0,103,1,10679,1,30170.8,6531.8,1658.9,0,103.7,1658.9,0,103.7,36702.6,38361.5,36702.6,36806.3,38361.5,36702.6,36806.3
LP08_P3,LP08-SC,8,9,8.2,22.51,415.73,181.33,191.17,0.032093419,66538.4,0,0,0,0,0,0,0,2190.6,0,0,0,0,13417.2,273.8,0,273.8,821.5,0,0,0,0,0,0,0,0,0,273.8,273.8,0,0,273.8,0,0,0,0,2464.4,4654.9,0,0,0,0,0,547.6,0,273.8,0,0,0,0,0,273.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3833.5,273.8,0,0,0,273.8,0,0,0,12595.7,273.8,0,0,273.8,0,0,39,1,10679,1,68728.9,23822.4,3833.5,273.8,273.8,12595.7,273.8,273.8,92551.3,96384.8,92825.2,92825.2,105147.1,92825.2,92825.2
LP08_P4,LP08-SC,16,17,16.5,147.61,768.48,450.56,449.79,0.031837477,121918.6,0,0,0,0,0,0,0,4004.6,0,0,0,0,11124,1334.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,1334.9,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889.9,0,0,0,0,0,0,0,2224.8,0,0,0,0,0,0,0,0,9344.1,0,0,0,0,0,445,24,1,10679,1,125923.2,15573.5,2224.8,0,0,9344.1,0,445,141496.8,143721.5,141496.8,141496.8,150840.9,141496.8,141941.7
LP08_P5,LP08-1A,9,10,18.6,164.66,886.93,514.07,515.75,0.028169014,190696.4,762.8,762.8,0,0,0,0,0,8390.6,0,762.8,0,1525.6,24409.1,762.8,0,1525.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1525.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1525.6,0,0,0,26697.5,0,0,0,762.8,762.8,0,14,1,10679,1,202901,28985.9,0,0,1525.6,26697.5,0,1525.6,231886.9,231886.9,231886.9,233412.4,258584.4,231886.9,233412.4
LP08_P6,LP08-SC,24,25,24.5,395.06,1051.02,722.86,725.2,0.027166992,105968.5,0,0,0,0,0,0,0,4107.3,0,0,0,0,12732.7,0,0,410.7,0,0,0,0,410.7,0,0,0,0,0,0,0,410.7,410.7,0,0,0,0,0,410.7,0,0,0,0,0,0,410.7,0,0,0,0,0,0,0,0,0,0,0,821.5,0,821.5,0,0,0,0,0,0,0,0,0,0,0,4107.3,821.5,410.7,0,0,1232.2,0,0,0,9857.5,410.7,0,410.7,821.5,0,0,26,1,10679,1,110075.8,16840,4107.3,821.5,1642.9,9857.5,410.7,1232.2,126915.8,131023.1,127737.3,128558.7,136773.3,127326.5,128148
LP08_P7,LP08-1A,18,19,30.9,578.65,1260.36,971.1,960.78,0.027004219,155159.6,628.2,2512.7,1256.4,0,0,0,0,8794.5,0,0,0,0,15076.2,628.2,0,2512.7,0,0,0,0,0,628.2,0,0,0,0,0,0,0,628.2,0,0,0,0,0,0,0,0,0,0,0,0,1884.5,0,0,0,0,0,0,628.2,0,0,0,0,1256.4,628.2,0,0,0,0,628.2,0,628.2,0,0,628.2,0,0,9422.6,0,0,0,0,1884.5,0,0,628.2,39575.1,0,0,1256.4,628.2,628.2,0,17,1,10679,1,168351.3,25755.2,9422.6,0,2512.7,39575.1,0,2512.7,194106.5,203529.2,194106.5,196619.2,233681.6,194106.5,196619.2
LP08_P8,LP08-SC,32,33,32.5,708.91,1266.58,1028.48,1020.03,0.027003047,76637.5,314.1,0,0,0,0,0,0,1570.4,314.1,0,0,0,14448.1,314.1,0,942.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.1,0,314.1,314.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.1,0,0,0,314.1,0,0,0,0,0,0,0,6595.9,314.1,0,0,0,1570.4,0,0,0,8166.3,0,0,0,0,0,0,34,1,10679,1,78836.1,17274.9,6595.9,314.1,1570.4,8166.3,0,0,96111,102706.9,96425.1,97681.4,104277.3,96111,96111
LP08_P9,LP08-1A,26,27,39.5,1186.76,1331.42,1279.97,1279.26,0.037091988,113019.4,0,889.9,0,0,0,0,0,2669.8,0,0,0,0,24472.7,889.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334.9,445,0,0,0,0,0,0,0,0,0,445,0,445,0,0,0,0,0,0,0,1334.9,0,0,0,0,445,445,0,0,0,445,0,0,0,0,0,0,0,7564.3,445,0,0,0,445,0,0,0,37821.5,0,0,0,0,0,0,24,1,10679,1,116579.1,30702.1,7564.3,445,445,37821.5,0,0,147281.2,154845.5,147726.2,147726.2,185102.7,147281.2,147281.2
LP08_P10,LP08-SC,40,41,40.5,1212.21,1352.85,1306.36,1306.22,0.059186607,40965.3,350.1,350.1,0,0,0,0,0,2801,0,0,0,175.1,8753.3,0,0,525.2,0,0,0,0,0,0,0,0,0,0,0,0,0,525.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.1,0,0,0,175.1,0,350.1,0,175.1,0,0,0,3851.4,175.1,0,0,0,175.1,0,0,175.1,24859.3,0,0,0,0,175.1,0,61,1,10679,1,44641.7,10854.1,3851.4,175.1,350.1,24859.3,0,175.1,55495.8,59347.2,55670.9,55845.9,80355.1,55495.8,55670.9
LP08_P11,LP08-1A,34,35,47.5,1296.42,1649.79,1403.95,1424.49,0.06680331,135623.3,1067.9,0,0,0,0,534,0,1067.9,0,0,0,0,18154.3,0,534,1067.9,0,0,0,0,0,0,0,0,0,0,0,0,534,1601.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,0,0,0,0,0,0,534,0,534,0,0,0,8543.2,0,0,0,0,1067.9,0,0,1067.9,8543.2,534,0,534,0,534,0,20,1,10679,1,138293,23493.8,8543.2,0,2135.8,8543.2,534,1067.9,161786.9,170330,161786.9,163922.6,170330,162320.8,162854.8
LP08_P12,LP08-1A,42,43,56.3,1354.07,1845.93,1538.45,1556.22,0.064644455,197972.2,1642.9,0,0,0,0,0,0,4928.8,0,0,0,0,40251.6,2464.4,0,3285.8,0,0,0,0,0,0,821.5,0,0,1642.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642.9,0,821.5,0,0,0,0,0,1642.9,0,0,0,0,0,23822.4,821.5,0,0,0,1642.9,0,0,0,47644.8,0,0,0,0,0,0,13,1,10679,1,204543.9,52573.5,23822.4,821.5,1642.9,47644.8,0,0,257117.5,280939.8,257938.9,258760.4,304762.2,257117.5,257117.5
LP08_P13,LP08-1A,50,51,65.4,1444.32,1977.9,1692.11,1696.99,0.067377462,263091.7,970.8,970.8,970.8,0,0,0,0,1941.6,0,0,0,0,45628.5,1941.6,0,4854.1,0,0,0,0,0,0,0,0,0,970.8,0,0,0,970.8,0,0,0,0,0,0,0,0,0,0,0,0,2912.5,0,0,0,0,0,0,0,0,0,0,0,0,970.8,970.8,0,0,0,2912.5,0,0,0,0,0,0,0,25241.3,0,0,0,0,3883.3,0,0,0,19416.4,1941.6,0,0,970.8,0,0,11,1,10679,1,267945.8,62132.4,25241.3,0,3883.3,19416.4,1941.6,970.8,330078.2,355319.5,330078.2,333961.5,349494.5,332019.8,331049
LP08_P14,LP08-1A,58,59,74.5,1556.25,2108.63,1835.42,1832.05,0.071524826,100809.8,1281.5,0,0,0,427.2,0,0,854.3,0,427.2,0,1281.5,23493.8,854.3,0,1708.6,0,0,0,0,0,0,0,0,0,0,0,0,0,427.2,0,427.2,0,0,427.2,0,427.2,0,854.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.2,0,0,0,0,0,427.2,0,0,0,0,0,8970.4,0,0,0,0,1281.5,0,0,0,24775.3,1281.5,0,0,427.2,854.3,854.3,25,1,10679,1,105081.4,29474,8970.4,0,1281.5,24775.3,1281.5,2135.8,134555.4,143525.8,134555.4,135836.9,159330.7,135836.9,136691.2
