LP08_M1H_BACON_SH20M1H,,,,,,,,,,,,,
Strat_depth,95%CI_min,95%CI_max,median_age,SH20M1Hmean_age,mean 95%,Unit ,95%CI_min_nearest_10_years,95%CI_max_nearest_10_years,median_age_nearest_10_years,SH20M1Hmean_age_nearest_10_years,mean_min_95%CI_err.,max_mean_95%CI_nearest_10_years,mean_95%CI_nearest_10_years
cm,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,-,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP
0,-59.91,-54.07,-56.98,-56.98,2.92,6C,-60,-50,-60,-60,0,10,10
1,-53.39,-0.71,-30.28,-29.74,26.34,6C,-50,0,-30,-30,20,30,30
2,-49.78,55.22,-3.89,-2.5,52.5,6C,-50,60,0,0,50,60,60
3,-46.15,110.89,22.52,24.74,78.52,6C,-50,110,20,20,70,90,80
4,-42.33,166.63,49.16,51.98,104.48,6C,-40,170,50,50,90,120,110
5,-38.76,222.58,75.76,79.21,130.67,6C,-40,220,80,80,120,140,130
6,-35.16,278.8,102.04,106.45,156.98,6C,-40,280,100,110,150,170,160
7,-31.56,335.02,128.46,133.69,183.29,6C,-30,340,130,130,160,210,190
8,-27.97,391.24,154.92,160.93,209.605,6C,-30,390,150,160,190,230,210
9,-24.36,447.47,181.47,188.17,235.915,6C,-20,450,180,190,210,260,240
10,-20.71,503.69,207.95,215.41,262.2,6C,-20,500,210,220,240,280,260
11,58.9,533.07,259.34,266.65,237.085,6C,60,530,260,270,210,260,240
12,115.75,588.95,312.03,317.88,236.6,6C,120,590,310,320,200,270,240
13,146.99,636.96,366.81,369.12,244.985,6C,150,640,370,370,220,270,250
14,168.77,689.06,416.11,420.35,260.145,6C,170,690,420,420,250,270,260
15,192.65,749.4,467.81,471.59,278.375,6C,190,750,470,470,280,280,280
16,219.71,813.38,524.05,522.82,296.835,6C,220,810,520,520,300,290,300
17,239.91,879.01,578.03,574.06,319.55,6C,240,880,580,570,330,310,320
18,257.01,953.27,630.48,625.3,348.13,6C,260,950,630,630,370,320,350
19,267.27,1033.3,679.44,676.53,383.015,6C,270,1030,680,680,410,350,380
20,284.93,1114.53,731.17,727.77,414.8,6C,280,1110,730,730,450,380,420
21,355.1,1126.93,758.11,757.27,385.915,6C,360,1130,760,760,400,370,390
22,416,1140.99,787.73,786.76,362.495,6C,420,1140,790,790,370,350,360
23,475.1,1154.53,814.56,816.26,339.715,6C,480,1150,810,820,340,330,340
24,518.92,1168.03,841.57,845.76,324.555,6C,520,1170,840,850,330,320,330
25,565.05,1181.37,871.33,875.26,308.16,6C,570,1180,870,880,310,300,310
26,586.75,1195.14,907.21,904.76,304.195,6C,590,1200,910,900,310,300,310
27,604.4,1207.39,947.3,934.25,301.495,6C,600,1210,950,930,330,280,310
28,623.59,1224.21,986.7,963.75,300.31,6C,620,1220,990,960,340,260,300
29,648.39,1244.62,1020.58,993.25,298.115,6C,650,1240,1020,990,340,250,300
30,664.58,1274.95,1050.07,1022.75,305.185,6C,660,1270,1050,1020,360,250,310
31,730.43,1276.63,1075.11,1050.17,273.1,6C,730,1280,1080,1050,320,230,280
32,794.65,1281.1,1099.31,1077.59,243.225,S,790,1280,1100,1080,290,200,250
33,857.8,1284.07,1123.09,1105,213.135,S,860,1280,1120,1110,250,170,210
34,916.71,1287.13,1147.82,1132.42,185.21,S,920,1290,1150,1130,210,160,190
35,981.31,1290.82,1171.66,1159.84,154.755,S,980,1290,1170,1160,180,130,160
36,1044.05,1296.65,1197.27,1187.26,126.3,S,1040,1300,1200,1190,150,110,130
37,1101.22,1302.11,1222.46,1214.68,100.445,S,1100,1300,1220,1210,110,90,100
38,1156.12,1310.71,1247.49,1242.1,77.295,S,1160,1310,1250,1240,80,70,80
39,1181.37,1325.6,1272.17,1269.52,72.115,S,1180,1330,1270,1270,90,60,80
40,1199.28,1344.79,1297.33,1296.94,72.755,S,1200,1340,1300,1300,100,40,70
41,1216.1,1362.09,1313.18,1313.66,72.995,S,1220,1360,1310,1310,90,50,70
42,1233.81,1400.02,1328.84,1330.38,83.105,S,1230,1400,1330,1330,100,70,90
43,1256.18,1442.75,1343.77,1347.09,93.285,S,1260,1440,1340,1350,90,90,90
44,1276.01,1492.93,1358,1363.81,108.46,S,1280,1490,1360,1360,80,130,110
45,1284.96,1543.07,1371.69,1380.53,129.055,6B,1280,1540,1370,1380,100,160,130
46,1292.1,1591.55,1385.58,1397.25,149.725,6B,1290,1590,1390,1400,110,190,150
47,1294.84,1641.38,1399.25,1413.96,173.27,6B,1290,1640,1400,1410,120,230,180
48,1298.04,1687.38,1412.89,1430.68,194.67,6B,1300,1690,1410,1430,130,260,200
49,1300.76,1735.79,1427.1,1447.4,217.515,6B,1300,1740,1430,1450,150,290,220
50,1303.46,1785.08,1441.07,1464.12,240.81,6B,1300,1790,1440,1460,160,330,250
51,1320.11,1798.51,1457.12,1479.39,239.2,6B,1320,1800,1460,1480,160,320,240
52,1328.36,1803.63,1475.35,1494.65,237.635,6B,1330,1800,1480,1490,160,310,240
53,1338.05,1812.32,1493.33,1509.92,237.135,6B,1340,1810,1490,1510,170,300,240
54,1348.26,1827.93,1510.96,1525.19,239.835,6B,1350,1830,1510,1530,180,300,240
55,1357.26,1842.77,1528.03,1540.45,242.755,6B,1360,1840,1530,1540,180,300,240
56,1362.67,1856.03,1544.27,1555.72,246.68,6B,1360,1860,1540,1560,200,300,250
57,1366.92,1874.51,1559.69,1570.99,253.795,6B,1370,1870,1560,1570,200,300,250
58,1372.29,1892.21,1577.52,1586.25,259.96,6B,1370,1890,1580,1590,220,300,260
59,1376.33,1911.27,1592.84,1601.52,267.47,6B,1380,1910,1590,1600,220,310,270
60,1380.28,1933.66,1610.66,1616.79,276.69,6B,1380,1930,1610,1620,240,310,280
61,1397.44,1943.62,1624.78,1631.8,273.09,6B,1400,1940,1620,1630,230,310,270
62,1409.02,1952.66,1639.32,1646.82,271.82,6B,1410,1950,1640,1650,240,300,270
63,1421.61,1959.24,1655.4,1661.83,268.815,6B,1420,1960,1660,1660,240,300,270
64,1433.43,1968.34,1670.98,1676.85,267.455,6B,1430,1970,1670,1680,250,290,270
65,1439.58,1979.43,1684.73,1691.87,269.925,6B,1440,1980,1680,1690,250,290,270
66,1450.49,1990.69,1701.51,1706.88,270.1,6B,1450,1990,1700,1710,260,280,270
67,1459.57,2005.28,1721.38,1721.9,272.855,6B,1460,2010,1720,1720,260,290,280
68,1469.35,2024.48,1736.77,1736.91,277.565,6B,1470,2020,1740,1740,270,280,280
69,1476.6,2046.64,1753.24,1751.93,285.02,6B,1480,2050,1750,1750,270,300,290
70,1483.79,2070.93,1765.91,1766.95,293.57,6B,1480,2070,1770,1770,290,300,300
71,1504.42,2077.06,1781.94,1782.13,286.32,6B,1500,2080,1780,1780,280,300,290
72,1522.93,2084.21,1796.97,1797.32,280.64,6B,1520,2080,1800,1800,280,280,280
73,1540.77,2092.77,1812.28,1812.51,276,6B,1540,2090,1810,1810,270,280,280
74,1553.59,2102.93,1827.91,1827.7,274.67,6B,1550,2100,1830,1830,280,270,280
75,1569.55,2113.7,1845.65,1842.89,272.075,6B,1570,2110,1850,1840,270,270,270
76,1580.08,2124.76,1864.41,1858.08,272.34,6B,1580,2120,1860,1860,280,260,270
77,1589.68,2133.86,1879.3,1873.26,272.09,6B,1590,2130,1880,1870,280,260,270
78,1597.49,2148.75,1895.34,1888.45,275.63,6B,1600,2150,1900,1890,290,260,280
79,1608.06,2165.99,1911.85,1903.64,278.965,6B,1610,2170,1910,1900,290,270,280
80,1614.78,2186.75,1926.89,1918.83,285.985,6B,1610,2190,1930,1920,310,270,290
81,1638.46,2188.68,1939.23,1933.34,275.11,6B,1640,2190,1940,1930,290,260,280
82,1660.09,2194.77,1954.03,1947.85,267.34,6B,1660,2190,1950,1950,290,240,270
