N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data     15/03/2013  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Pb	D1	S1	S2	S3	Mo inc	Mo coh	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000000.spe	0.04	8.00	1	0.018314	-0.002837	0.009940	0.090027	8245.68555	1.23	6	0	0	19	22	0	84	0	10	5	0	7	0	27	15	14	17	12	19	0	0	13	21	96	416	0	0	0	12	6	0	0	12	0	0	14	0	15370	3305	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000001.spe	2.04	8.00	1	0.018313	-0.002837	0.009936	0.090027	15216.93555	1.64	0	0	9	0	21	8	72	0	22	7	5	14	4	45	6	16	8	23	12	81	27	22	34	224	790	0	9	0	0	14	0	0	0	39	0	9	0	29070	5899	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000002.spe	4.04	8.00	1	0.018313	-0.002837	0.009936	0.090027	18897.05078	1.47	0	0	0	0	34	0	51	16	54	0	6	11	84	2279	26	0	15	25	0	77	14	181	13	220	895	0	4	7	16	28	69	42	0	0	0	0	1076165028761100	34545	6827	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000003.spe	6.04	7.77	1	0.018313	-0.002837	0.009936	0.090027	22027.79297	1.60	0	0	27	4	27	15	58	31	145	0	99	17	310	6903	78	0	0	0	0	0	46	209	149	147	809	0	0	0	6	0	25	0	146	63	59	0	0	37224	7305	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000004.spe	8.04	7.67	1	0.018313	-0.002837	0.009936	0.090027	22732.16016	1.46	0	0	18	0	38	11	31	39	154	0	38	11	326	6490	52	0	0	0	0	0	58	235	79	174	744	0	0	0	15	0	0	22	174	0	43	0	0	38514	7486	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000005.spe	10.04	7.67	1	0.018313	-0.002837	0.009936	0.090027	24386.97656	1.77	0	0	4	0	30	0	48	67	177	0	75	15	332	7443	121	0	0	0	0	37	102	425	118	420	978	0	0	0	0	27	49	43	71	136	51	6	0	41098	7803	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000006.spe	12.04	7.65	1	0.018313	-0.002837	0.009936	0.090027	24734.45898	1.13	0	9	15	11	27	0	9	64	184	0	75	0	459	8067	67	0	0	14	0	51	68	309	90	370	1078	0	0	0	0	0	26	49	0	188	75	13	0	40670	7877	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000007.spe	14.04	7.68	1	0.018313	-0.002837	0.009936	0.090027	23959.49609	1.49	0	0	17	9	49	0	23	42	182	10	35	14	308	6526	120	0	0	0	0	131	0	208	206	194	991	9	0	8	9	0	34	0	0	124	42	0	0	40325	7857	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000008.spe	16.04	7.64	1	0.018313	-0.002837	0.009936	0.090027	24623.66016	1.43	0	0	5	12	48	0	32	70	186	0	91	29	404	7287	23	0	0	0	0	84	188	320	6	329	885	0	0	0	23	0	43	0	26	96	86	17	0	41440	7926	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000009.spe	18.04	7.65	1	0.018313	-0.002837	0.009936	0.090027	23140.43555	1.39	0	4	17	0	22	0	39	41	122	0	54	26	295	5174	15	0	0	0	0	0	216	317	114	356	1021	0	0	5	10	0	11	39	77	124	87	6	0	39895	7733	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000010.spe	20.04	7.65	1	0.018313	-0.002837	0.009936	0.090027	23437.62109	1.36	7	4	10	0	37	13	40	50	178	0	52	24	300	5651	51	0	0	0	0	41	95	254	5	275	1070	0	0	5	29	0	0	16	26	0	65	28	1325519483161214	39834	7762	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000011.spe	22.04	7.65	1	0.018313	-0.002837	0.009936	0.090027	24031.59570	1.51	8	0	24	29	68	15	27	31	176	0	90	18	402	7113	87	0	0	0	0	25	34	299	38	156	1008	0	0	0	0	0	0	129	77	183	28	0	0	39848	7811	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000012.spe	24.04	7.65	1	0.018313	-0.002837	0.009936	0.090027	23970.69531	1.47	17	0	32	0	64	16	21	42	209	0	90	12	491	8973	0	0	0	0	0	0	162	364	109	238	1034	0	0	0	0	0	47	0	119	21	168	19	132282829657090	38893	7619	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000013.spe	26.04	7.67	1	0.018313	-0.002837	0.009936	0.090027	22742.25977	1.50	0	19	15	24	40	12	47	33	187	0	69	30	314	6249	64	0	0	0	0	0	56	315	64	179	961	0	0	0	0	0	21	44	108	0	27	7	284252365898358	38253	7371	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000014.spe	28.04	7.67	1	0.018313	-0.002837	0.009936	0.090027	24048.54883	1.25	0	10	25	5	46	0	32	50	225	0	64	28	385	7948	54	0	0	0	43	273	95	183	18	242	869	0	0	0	57	0	0	61	0	71	65	0	0	39426	7746	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000015.spe	30.04	7.66	1	0.018313	-0.002837	0.009936	0.090027	23386.72656	1.41	0	0	23	5	15	5	26	45	214	0	37	34	414	7590	48	0	0	0	0	120	81	293	113	288	1029	9	0	18	33	0	43	0	14	120	109	21	766260236891787	39040	7512	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000016.spe	32.04	7.66	1	0.018313	-0.002837	0.009936	0.090027	22694.06250	1.40	0	7	30	17	54	7	76	34	202	0	68	0	398	7330	112	0	0	0	0	52	32	326	36	371	906	11	0	0	24	14	62	30	131	22	5	30	0	37884	7514	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000017.spe	34.04	7.65	1	0.018313	-0.002837	0.009936	0.090027	21706.61133	1.46	0	0	6	10	36	0	41	24	160	0	43	8	282	5731	77	0	0	0	0	204	42	190	89	214	1019	0	0	0	0	0	0	39	0	179	19	0	1574369732586504	36744	7146	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000018.spe	36.04	7.62	1	0.018313	-0.002837	0.009936	0.090027	22705.96094	1.72	0	10	18	12	49	12	51	58	215	0	93	8	351	7742	83	0	0	0	0	0	162	252	172	339	1004	0	0	0	11	32	0	33	188	0	50	15	942377489215902	38088	7258	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1C\XRF data\L000019.spe	38.04	7.62	1	0.018313	-0.002837	0.009936	0.090027	21911.20117	1.14	0	0	11	0	41	0	36	43	184	0	51	0	297	6424	34	18	32	25	6	176	133	219	103	86	882	0	0	0	0	41	59	15	0	83	68	7	0	36476	7267	
