N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data     15/03/2013  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Pb	D1	S1	S2	S3	Mo inc	Mo coh	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000000.spe	0.04	8.00	1	0.018308	-0.001896	0.009542	0.090590	10901.95117	1.09	0	8	39	0	81	241	52	259	1433	0	231	15	2468	17033	128	12	17	124	22	90	22	89	343	715	597	5	0	21	0	0	8	42	35	48	41	0	149892932198991	12221	4000	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000001.spe	2.04	8.00	1	0.018308	-0.001896	0.009547	0.090590	11477.02441	1.19	20	11	52	0	25	0	49	262	377	0	238	21	1213	17949	70	23	11	98	26	93	82	62	360	741	584	0	0	16	0	17	65	22	24	82	130	8	0	13883	4463	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000002.spe	4.04	8.00	1	0.018308	-0.001896	0.009553	0.090590	13816.80566	1.15	0	20	58	9	33	0	62	353	404	0	348	30	1961	25169	94	0	14	147	63	198	46	57	467	802	530	0	0	21	13	33	24	12	43	86	146	0	0	15844	4953	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000003.spe	6.04	8.00	1	0.018308	-0.001896	0.009553	0.090590	15855.70313	1.19	7	0	73	15	121	0	49	360	1425	0	296	12	4092	27413	48	0	0	87	0	150	68	226	387	864	661	0	0	32	36	13	0	34	81	52	160	0	0	18008	5442	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000004.spe	8.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	15946.59863	1.07	40	24	91	20	137	15	65	362	1650	0	289	20	6357	25260	183	0	0	76	12	112	44	128	359	854	821	0	0	34	4	5	11	0	34	51	119	18	179955440738980	18097	5465	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000005.spe	10.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	14944.44922	1.09	18	15	44	5	24	0	47	348	540	0	293	12	4410	24058	175	0	0	130	37	161	92	133	248	789	639	0	0	0	0	0	0	24	64	33	127	0	1168023104489316	17409	4952	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000006.spe	12.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	14958.54980	1.17	0	0	48	0	35	0	45	267	435	0	288	19	4483	22911	152	5	0	109	0	118	98	166	402	835	642	9	0	18	28	0	56	28	80	71	95	10	0	18172	5004	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000007.spe	14.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	14380.47852	1.28	12	0	31	7	14	0	56	233	345	0	214	15	4017	20438	171	4	10	96	11	138	55	154	411	780	642	0	0	10	10	0	14	61	0	98	40	9	0	17873	5206	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000008.spe	16.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	16628.86523	1.34	22	34	50	23	44	0	45	337	604	0	360	36	5818	27769	20	0	0	54	68	172	127	183	282	853	704	0	0	14	0	0	25	11	0	41	208	13	891292484383691	19705	5575	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000009.spe	18.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	16601.46680	1.21	24	29	44	27	46	6	38	364	597	0	329	24	7722	27294	86	19	12	115	9	192	23	187	330	805	650	0	0	14	0	0	58	73	0	147	127	7	0	19151	5322	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000010.spe	20.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	17487.42188	1.22	11	31	55	22	48	5	47	366	634	0	345	10	5006	30313	68	0	35	93	13	182	87	215	456	841	807	0	0	22	0	0	0	19	14	40	185	10	1212048875051895	20693	5541	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000011.spe	22.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	16159.98730	1.21	8	6	56	0	40	0	38	344	484	0	330	23	4650	25602	145	0	16	63	92	137	67	199	294	799	492	0	0	0	0	8	0	43	0	105	104	19	528102022563247	18988	5420	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000012.spe	24.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	15149.94043	1.24	14	12	36	7	17	11	62	314	500	16	272	28	4808	23239	79	0	0	77	13	115	32	189	326	803	623	12	0	33	9	6	0	50	28	140	152	10	176607465759914	17827	5233	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000013.spe	26.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	16124.99121	1.22	0	0	51	0	56	0	70	358	787	0	329	34	5401	26049	160	8	0	75	33	53	0	189	193	910	705	5	0	43	5	4	6	52	59	78	131	0	0	18850	5531	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000014.spe	28.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	15623.81445	1.28	13	16	42	0	43	0	35	286	955	0	264	32	5124	21717	81	0	0	103	69	51	109	126	275	934	776	0	0	16	0	0	0	19	125	30	153	0	831434646115502	19142	5456	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1F\XRF data\L000015.spe	30.04	8.00	1	0.018308	-0.001896	0.009551	0.090590	14923.75098	1.20	24	23	49	24	39	0	53	271	520	0	249	4	4142	21275	51	9	0	87	6	197	104	282	264	723	756	0	8	19	6	19	24	4	0	158	159	4	0	18579	5268	
