Age_SH20	Ln(Fe/Mn)
cal a BP	NA
118.54	3.544744647
127.62	3.572206339
133.67	3.603858623
142.75	3.483127646
151.83	3.45946629
160.9	3.442783415
169.98	3.54934763
176.04	3.536749678
185.11	3.669994191
194.19	3.694444299
203.27	3.57508844
209.33	3.511383779
218.4	3.687607459
224.46	3.606595762
233.54	3.672822017
242.61	3.545238274
251.92	3.095289466
258.2	3.58316275
267.63	3.488167606
277.05	3.424012059
286.47	NaN
295.89	3.480213922
302.18	3.58302572
311.6	3.443644072
321.02	3.530058215
330.44	3.628466327
339.86	3.571008209
346.15	3.40598296
355.57	3.497956417
364.99	3.473213999
374.41	3.570222875
383.84	3.513924316
390.12	3.473518043
399.54	3.392268751
405.82	3.872636761
415.24	3.394508394
421.53	3.663758865
430.95	3.395724342
437.23	3.301113923
449.79	3.222274299
459.22	3.916015027
468.64	3.364858786
474.92	3.409379777
484.34	3.468048043
493.76	3.392171261
503.19	3.205131002
512.61	3.315976974
518.89	3.476679326
528.31	3.290237747
537.74	3.494571452
547.16	3.351035309
556.58	3.319475023
563.4	3.222867846
574.43	3.267105608
581.79	3.422482246
592.82	3.637844124
600.17	3.619172042
611.2	3.460104844
618.56	3.333885968
633.27	3.197608618
644.3	3.370862002
655.33	3.265973414
662.69	3.413989986
673.72	3.331845508
684.75	3.323673075
695.78	3.105262167
706.82	3.051552344
714.17	3.379155282
725.2	3.250515426
736.23	3.195655283
747.27	3.433856066
758.3	3.294101713
765.65	3.252740339
776.68	3.188016953
784.04	3.288090894
795.07	3.262129103
806.1	3.330439285
813.46	3.160489767
824.49	3.283067063
835.52	3.194753883
846.55	3.096895802
857.59	3.246461735
864.94	3.345655308
875.97	3.448513706
887	3.317705556
898.04	3.358210021
909.07	3.332041418
916.42	3.243169763
927.45	3.605796051
938.56	3.511832424
949.67	3.30878156
957.08	3.280541371
968.19	3.363556949
975.6	3.185019644
986.71	3.255986833
997.82	3.027243733
1008.92	3.152025795
1016.33	2.992812563
1027.44	2.961733856
1038.55	3.217341547
1045.96	3.367427939
1053.36	3.213231181
1060.77	3.152976754
1068.18	3.14133207
1075.58	3.31976482
1082.99	3.474820618
1090.4	3.431888229
1097.8	3.324762154
1105.21	3.277879577
1112.61	3.385558488
1120.02	3.346342352
1127.43	3.446867418
1134.83	3.361623294
1142.24	3.312943905
1149.65	3.311099582
1157.05	3.345004888
1164.46	3.441548677
1171.87	3.601299734
1179.27	3.349972349
1186.68	3.50224629
1194.08	3.597750021
1201.49	3.398579579
1208.9	3.379737998
1216.3	3.356036986
1223.71	3.353662138
1231.12	3.423910449
1238.52	3.311887367
1245.93	3.505843356
1253.34	3.596102827
1260.74	3.481097629
1268.15	3.570812287
1275.55	3.626098647
1282.96	3.391109495
1290.37	3.358360208
1297.77	3.602044927
1301.15	3.391627931
1304.53	3.467066984
1307.91	3.468650607
1311.29	3.482784718
1314.67	3.419274472
1318.05	3.473328954
1321.43	3.356958249
1324.81	3.589396913
1328.19	3.633096814
1331.57	3.624440431
1334.95	3.607920499
1338.32	3.665780787
1341.7	3.632493266
1345.08	3.529482478
1348.46	3.44370809
1351.84	3.185986274
1355.22	3.220320564
1358.6	3.09219741
1361.98	3.155666121
1365.36	3.246635095
1368.74	3.351003593
1372.12	3.344571722
1375.5	3.430200858
1378.87	3.22129283
1382.25	3.161638775
1385.63	3.161269741
1389.01	3.168025287
1392.39	3.180923273
1395.77	3.21809376
1399.15	3.299339497
1402.53	3.309082093
1405.91	3.297824938
1409.29	3.388605928
1412.67	3.281228861
1416.05	3.344131599
1419.42	3.253409856
1422.8	3.399152281
1426.18	3.264138107
1429.56	3.446453973
1432.94	3.388830726
1436.32	3.368591335
1439.7	3.518463488
1443.08	3.345196241
1446.46	3.405607532
1449.84	3.268764287
1453.22	3.06538369
1456.6	3.108981942
1459.98	3.366115115
1463.35	3.444066865
1466.73	3.224952562
1469.57	3.299921005
1473.84	3.347498926
1476.68	3.254565534
1479.52	3.28122445
1482.36	3.382570533
1486.62	3.301824908
1489.46	3.306613888
1492.3	3.523630834
1496.56	3.237122963
1499.4	3.332619706
1502.25	3.284511717
1505.09	3.191664487
1509.35	3.038229511
1512.19	3.160880633
1515.03	3.126352456
1517.87	3.307614488
1522.13	3.201158826
1524.97	3.254020194
1527.81	3.316434557
1532.08	3.108956526
1534.92	3.342987996
1537.76	3.094823176
1540.6	NaN
1544.86	3.494391159
1547.7	3.143941996
1550.54	3.510811135
1554.8	3.372550201
1557.64	3.27108619
1560.48	3.332690301
1563.33	3.179620001
1567.59	3.209360735
1570.43	3.176629421
1573.27	3.050397802
1577.53	3.132003231
1580.37	3.028236586
1583.21	3.127225606
1586.05	2.92084503
1590.31	3.255151722
1593.16	3.203993851
1596	3.170376758
1600.26	3.22460717
1603.1	3.301279178
1605.94	3.153881916
1608.78	3.229996555
1613.68	3.368423135
1616.95	3.198171152
1620.22	3.145662974
1623.48	3.288961932
1739.47	3.092556458
1742.73	3.211593559
1747.63	3.093398167
1750.9	3.144264961
1754.17	3.164429825
1759.07	3.15239522
1762.33	3.096177818
1765.6	3.216099698
1768.87	3.244757498
1773.47	3.203432513
1776.13	3.306195577
1778.79	3.275224118
1782.79	3.203559121
1785.45	3.206500395
1788.11	3.267984364
1790.78	3.182139042
1794.77	3.282413846
1797.43	2.861792634
1800.1	3.140736067
1804.09	3.022337227
1806.76	2.950422887
1809.42	3.127281505
1812.08	3.192263438
1816.08	3.27138577
1818.74	3.351880118
1821.4	3.34700047
1825.4	3.347048055
1828.06	3.415250867
1830.72	3.347837971
1833.39	3.160606917
1837.38	3.071863783
1840.04	3.212922656
1842.71	3.40807529
1845.37	3.383865925
1849.36	3.300073232
1852.03	3.216263721
1854.69	3.334995642
1858.68	3.726619782
1861.35	3.52068836
1864.01	3.28804433
1866.67	3.435718576
1870.67	3.32498025
1873.33	3.410378408
1875.99	3.370006075
1879.99	3.351698305
1882.65	3.276105592
1885.31	3.283414346
1887.98	3.348934938
1891.97	3.288442009
1894.63	3.313240326
1897.3	3.258096538
1901.29	3.403507636
1903.95	3.390658168
1906.95	3.226563243
1910.26	3.320104103
1915.24	3.20941949
1918.56	3.19626927
1921.88	3.190012555
1926.86	3.35755022
1930.18	3.397984896
1933.5	3.216316642
1936.82	3.218181139
1941.79	3.230304521
1945.11	3.190345469
1948.43	3.218028905
1953.41	3.337997677
1956.73	3.351105
1960.05	3.052769907
1963.37	3.372586848
1968.35	3.342836012
1971.67	3.260364756
1974.98	3.274021195
1978.3	3.274155194
1983.28	3.266221945
1986.6	3.637359274
1989.92	3.41854602
1994.9	3.334743227
1998.22	3.383236595
2001.54	3.309298831
2004.85	3.537289595
2009.83	3.268635869
2013.15	3.335432686
2016.47	3.188069762
2021.45	3.317256549
2024.77	3.459182715
2028.09	3.352354769
2031.41	3.287877615
2036.39	3.239569321
2039.7	3.159487896
2043.02	3.039202188
2048	3.019952705
2051.32	3.189833139
2054.64	3.145030976
2057.96	3.067485559
2062.94	2.982849648
2066.26	3.151556429
2069.57	2.875863731
2074.22	2.959594885
2077.21	3.002542365
2080.19	2.933019102
2083.18	2.926319146
2087.66	2.981497158
2090.65	2.804636191
2093.64	2.891186024
2096.62	3.03638709
2101.1	2.901810775
2104.09	2.912267898
2107.08	3.003466264
2111.56	2.948448608
2114.54	3.050199872
2117.53	3.37290988
2120.52	3.061307854
2125	3.33807422
2127.98	3.08049754
2130.97	2.937838295
2135.45	2.910669835
2138.44	2.989796323
2141.42	3.113942568
2144.41	3.099724507
2148.89	3.204055805
2151.88	3.400732157
2154.86	3.270620995
2159.35	3.086048685
2162.33	3.150596984
2165.32	2.980470416
2168.31	3.062332347
2172.79	2.970269591
2175.77	3.068458478
2178.76	3.043226821
2183.24	3.046236969
2186.23	3.034952987
2189.21	3.068944354
2192.2	3.088480475
2196.68	3.083923952
2199.67	3.078568279
2202.65	3.185797403
2205.64	3.113099076
2210.12	3.1956376
2213.11	3.153715844
2216.09	3.205116112
2220.57	3.208196048
2223.18	2.897868045
2225.79	3.161838984
2228.39	3.146212165
2232.3	3.15678834
2234.91	3.248811927
2237.51	3.148536964
2241.42	3.22126996
2244.03	3.234030126
2246.63	3.213849285
2249.24	3.243885144
2253.15	3.219283905
2255.76	3.28042353
2258.36	3.411615466
2262.27	3.243627207
2264.88	3.162980693
2267.48	3.379019642
2270.09	3.336127087
2274	3.204018525
2276.6	3.146826971
2279.21	3.267127955
2283.12	3.398459261
2285.73	3.308656588
2288.33	3.166051895
2290.94	3.393798281
2294.85	3.22983913
2297.45	3.374092035
2300.06	3.098965528
2302.66	3.182622134
2306.57	3.075917421
2309.18	3.104410542
2311.79	3.236269683
2315.69	3.467714578
2318.3	3.198820992
2320.91	3.117116321
2323.51	3.147624766
2327.42	3.203959939
2330.03	3.230873737
2332.63	3.240794133
2336.54	3.093704451
2339.15	3.231368889
2341.75	3.216563122
2344.36	3.135639133
2348.27	3.16189839
2350.88	3.228766148
2353.3	3.581950758
2356.93	3.160073441
2359.35	3.290576139
