LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka
SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_Ca_Ti,SH20M1H_mean_age,Ln_Ca_Ti
cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA
21213.9,3.467085098,21211.2,4.110918859,21213.9,-2.246495626,21211.2,NaN,21213.9,1.112405611,21211.2,-0.256619572,21213.9,1.120830716,21211.2,1.195097327,21213.9,-0.193927103,21211.2,-0.126575649
21221.4,3.513986681,21215.55,4.125941318,21221.4,-2.064017071,21215.55,-0.423957908,21221.4,0.802257135,21215.55,-0.273883145,21221.4,1.070472232,21215.55,1.226396565,21221.4,-0.434376452,21215.55,-0.182145361
21229,3.500111169,21219.9,3.960767234,21229,-2.72627394,21219.9,NaN,21229,0.629060025,21219.9,-0.235425507,21229,1.148813604,21219.9,1.256856044,21229,-0.506321112,21219.9,-0.206637974
21236.5,3.504129578,21224.25,3.874092939,21236.5,-1.07342204,21224.25,NaN,21236.5,0.718337429,21224.25,-0.062580478,21236.5,1.106011508,21224.25,1.240495517,21236.5,-0.304835152,21224.25,-0.156119184
21244,3.503861959,21228.6,3.850689041,21244,-1.510721939,21228.6,NaN,21244,0.543401794,21228.6,0.058028925,21244,1.11858706,21228.6,1.268511326,21244,-0.389044378,21228.6,-0.165177846
21251.5,3.531589634,21232.95,3.87845758,21251.5,-1.114485638,21232.95,-0.801634317,21251.5,0.730498593,21232.95,-0.069913937,21251.5,1.132320913,21232.95,1.225170644,21251.5,-0.222487599,21232.95,-0.186849245
21259.1,3.407384845,21237.3,3.942414925,21259.1,-1.443157223,21237.3,-0.548201244,21259.1,0.830283875,21237.3,-0.351729308,21259.1,1.099467094,21237.3,1.187584395,21259.1,-0.410502902,21237.3,-0.176318668
21266.6,3.434761984,21241.64,4.019575807,21266.6,-1.351723017,21241.64,-0.609090535,21266.6,0.78662837,21241.64,-0.543851373,21266.6,1.078740214,21241.64,1.213122236,21266.6,-0.481120469,21241.64,-0.210823067
