depth,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Br,Rb,Sr,Zr,Ba,Mo inc,Mo coh
28.2,0.3078256,0.037186286,0.297153471,0.534548073,1.836813979,1.05526949,0.379996126,0.899123221,5.947373885,0.460843679,0.612387446,0.495074184,0.4409722,1.814048148,1.232949364,0.231093976,6.367383552,2.901053579
28.3,0.381698016,0.083921789,0.322786059,0.583262277,1.879069987,1.020913561,0.444914021,0.861186603,5.950834319,0.548928577,0.535182801,0.466199557,0.566716276,1.812196602,1.203256289,0.271896037,6.300611548,2.924098876
28.4,0.330234452,0.092156989,0.298944098,0.532270568,1.95170111,0.916904746,0.420267826,0.859925302,5.505613454,0.462474896,0.477626836,0.504014318,0.531717281,1.904996639,1.240055069,0.238974745,6.616873449,3.022187887
28.5,0.339884814,0.126103176,0.302323898,0.488088197,1.968220286,0.945253694,0.434906242,0.907493337,5.652130625,0.513808258,0.52944779,0.451767699,0.294229272,1.822526484,1.206132936,0.305607251,6.579260882,3.01104867
28.6,0.330002814,0.116149808,0.319147186,0.490598805,1.867944105,0.949114276,0.404690255,0.853684328,5.716931858,0.547548951,0.570020781,0.464935667,0.447726468,1.85507751,1.246901383,0.287066705,6.523995325,3.020911827
28.7,0.298023688,0.115611285,0.298917422,0.511587756,1.808190702,0.992522008,0.41427632,0.898032263,5.841666613,0.505309141,0.588181761,0.475075134,0.562118202,1.776002069,1.273029648,0.328338634,6.462925978,2.98016069
28.8,0.36872463,0.10007099,0.24723454,0.569724812,1.843153217,1.04219788,0.432360725,0.856250611,5.814261819,0.490630605,0.515129519,0.435504027,0.565988712,1.809340066,1.26926437,0.283286427,6.483750434,2.957331273
28.9,0.462221512,0.106425925,0.347692146,0.620815088,1.840308816,1.112182943,0.410046003,0.893270449,6.05041564,0.508448488,0.577274979,0.443005109,0.501850807,1.733670308,1.221792016,0.348080723,6.30698048,2.875415004
29,0.446942578,0.101780953,0.314381236,0.664381459,1.88546569,1.179378074,0.392460587,0.921390155,6.095683916,0.531497239,0.543787444,0.225996547,0.567151878,1.742309352,1.210954066,0.328764361,6.241203687,2.862610378
29.1,0.405623336,0.154928541,0.276292485,0.641243674,1.856722097,1.140683796,0.446953368,0.863290217,5.935561604,0.473988042,0.430247631,0.368295164,0.602972402,1.817682671,1.279848997,0.348427509,6.368649718,2.884835393
