ID,depth,mean,kcps,MSE,Si,S,K,Ca,Ti,Cr,Mn,Fe,Co,Zn,As,Br,Rb,Sr,Zr,inc,coh,inc_coh,coh_inc,TSN_sum,Subunit ,Group
LP-1C-1,6.7,286.78,23790,1.38,0.038584307,0.078922446,0.147321898,2.199305482,0.23150584,0.019292153,2.004630117,17.04549441,0.070153285,0,0.049107299,0.589287593,0.073660949,1.432880845,1.224174822,62.73808271,9.740783612,6.440763414,0.155261098,1.37971253,6A-C,Unit 6
LP-1C-2,6.75,289.36,23408,1.38,0.068949667,0.077789368,0.09900465,2.561745311,0.194473419,0.031822923,1.879320404,17.14194792,0.180329898,0.178561957,0,0.604635539,0,1.387833036,1.317115429,62.23149409,9.428424942,6.600412526,0.151505682,1.395480226,6A-C,Unit 6
LP-1C-3,6.8,291.94,23164,1.36,0.048882934,0.081471557,0.101386827,2.199732049,0.186479342,0,1.578737734,16.28706956,0.119491617,0,0,0.767643118,0.010862874,1.366911685,1.339754499,63.63652823,9.724082992,6.544218954,0.152806623,1.363129319,6A-C,Unit 6
LP-1C-4,6.85,294.51,22958,1.22,0,0.10014202,0.089217436,2.194020611,0.151123411,0.025490696,2.055642548,15.8624959,0.142019591,0,0,0.582644478,0.225774735,1.607734605,1.290921671,64.02170351,9.684643676,6.610641098,0.151271259,1.356735259,6A-C,Unit 6
LP-1C-5,6.9,297.09,23112,1.26,0.030657145,0.099184881,0.068527736,1.954843829,0.120825218,0.032460506,2.136983337,15.02200101,0.214600014,0.007213446,0.091971435,0.672653827,0.04869076,1.498593378,1.570727837,64.16179759,9.869797302,6.500822218,0.153826696,1.350774627,6A-C,Unit 6
LP-1C-6,6.95,299.67,23250,1.24,0.06580631,0.104193324,0.071290169,1.743867217,0.080429935,0.025591343,2.332468102,13.41534749,0.148064198,0,0,0.696450115,0.009139765,1.299674624,1.155266333,66.40039484,10.31696706,6.436038271,0.155375086,1.303485906,6A-C,Unit 6
LP-1C-7,7,302.25,23202,1.19,0.014774868,0.06094633,0.022162302,2.016769475,0.105270934,0.083108632,1.772984154,12.75809847,0.260407048,0.055405755,0,0.585454143,0.07387434,1.270638644,1.776677871,67.12037824,9.9804233,6.725203553,0.148694384,1.297003377,6A-C,Unit 6
LP-1C-8,7.05,304.83,23216,1.29,0.061563718,0.085816092,0.10074063,1.99056023,0.138051975,0.020521239,1.320821596,11.58890361,0.257448277,0.039176912,0,0.52422439,0,1.177172919,1.455142436,68.64541164,10.34457027,6.635888188,0.150695728,1.265983326,6A-C,Unit 6
LP-1C-9,7.1,307.41,23090,1.31,0.036248474,0.057234432,0.070589133,1.848672161,0.093482906,0,1.1122558,10.3289072,0.263278388,0,0,0.610500611,0,1.589209402,1.379349817,70.62728938,10.18009768,6.937781109,0.144138304,1.237510624,6A-C,Unit 6
LP-1C-10,7.15,309.99,23126,1.23,0.032638329,0.061436854,0.057597051,1.628076642,0.086395577,0,1.272894828,10.52490113,0.092155282,0.080635871,0,0.516453558,0.030718427,1.215297777,1.313212764,70.07833199,10.65545444,6.576756757,0.152050629,1.238638796,6A-C,Unit 6
