Lago Pato bathymetry X-X' (23/2/2007),,,,,,,Lago Pato bathymetry Y-Y' (26/2/2007),,,,,
Distance = 243 m; Readings = 266; Resolution = 0.914 m,,,,,,,Distance = 131 m; Readings = 68; Resolution = 1.926 m,,,,,
Waypoint,Reading_number,Distance,Depth,Latitude,Longitude,,Waypoint,Reading_number,Distance,Depth,Latitude,Longitude
NA,NA,m,m,decimal_degrees,decimal_degrees,,NA,NA,m,m,decimal_degrees,decimal_degrees
924,0,0,1.5,-51.30000,-72.67813,,980,0,0,1.5,-51.30035,-72.68002
925,5,4.568,2.2,-51.30003,-72.67815,,981,2,3.853,1.9,-51.30035,-72.67997
926,10,9.135,2.6,-51.30007,-72.67818,,983,7,13.485,2,-51.30035,-72.67982
927,15,13.703,3.1,-51.30010,-72.67823,,985,12,23.118,2.2,-51.30035,-72.67968
928,20,18.271,3.2,-51.30013,-72.67827,,987,17,32.75,2.4,-51.30035,-72.67955
929,25,22.838,3.4,-51.30017,-72.67830,,989,22,42.382,2.5,-51.30037,-72.67942
930,30,27.406,3.4,-51.30018,-72.67837,,991,27,52.015,2.7,-51.30037,-72.67928
931,35,31.974,3.5,-51.30022,-72.67840,,993,32,61.647,2.9,-51.30037,-72.67917
932,40,36.541,3.5,-51.30025,-72.67843,,994,37,71.279,3,-51.30035,-72.67897
933,45,41.109,3.5,-51.30028,-72.67848,,995,42,80.912,3.2,-51.30035,-72.67883
934,50,45.677,3.4,-51.30032,-72.67852,,996,47,90.544,3.3,-51.30035,-72.67868
935,55,50.244,3.4,-51.30033,-72.67858,,997,50,96.324,3.4,-51.30033,-72.67860
936,60,54.812,3.4,-51.30038,-72.67860,,998,52,100.176,3.4,-51.30035,-72.67855
937,65,59.38,3.4,-51.30042,-72.67863,,999,57,109.809,3.4,-51.30038,-72.67842
938,70,63.947,3.3,-51.30043,-72.67868,,1001,62,119.441,3.3,-51.30040,-72.67827
939,75,68.515,3.3,-51.30047,-72.67873,,1002,67,129.074,3.1,-51.30043,-72.67813
940,80,73.083,3.2,-51.30052,-72.67875,,1003,72,138.706,2.9,-51.30345,-72.67802
941,85,77.65,3.2,-51.30053,-72.67880,,1004,77,148.338,2.8,-51.30050,-72.67727
942,90,82.218,3.2,-51.30057,-72.67885,,1005,82,157.971,2.6,-51.30052,-72.67775
943,95,86.786,3.3,-51.30060,-72.67888,,,,,,,
944,100,91.353,3.2,-51.30063,-72.67895,,,,,,,
945,105,95.921,3.2,-51.30067,-72.67900,,,,,,,
946,110,100.489,3.1,-51.30068,-72.67903,,,,,,,
947,115,105.056,3.1,-51.30070,-72.67907,,,,,,,
948,120,109.624,3.2,-51.30073,-72.67910,,,,,,,
949,125,114.192,3.1,-51.30077,-72.67915,,,,,,,
950,130,118.759,3.1,-51.30080,-72.67920,,,,,,,
951,135,123.327,3,-51.30082,-72.67925,,,,,,,
952,140,127.895,3,-51.30085,-72.67927,,,,,,,
953,145,132.462,2.9,-51.30085,-72.67933,,,,,,,
954,150,137.03,2.9,-51.30088,-72.67935,,,,,,,
955,155,141.598,2.8,-51.30093,-72.67940,,,,,,,
956,160,146.165,2.8,-51.30095,-72.67943,,,,,,,
957,165,150.733,2.7,-51.30098,-72.67948,,,,,,,
958,170,155.301,2.6,-51.30102,-72.67952,,,,,,,
959,175,159.868,2.6,-51.30103,-72.67957,,,,,,,
961,180,164.436,2.5,-51.30557,-72.70680,,,,,,,
962,185,169.004,2.4,-51.30115,-72.67968,,,,,,,
963,190,173.571,2.4,-51.30117,-72.67973,,,,,,,
964,196,179.053,2.3,-51.30120,-72.67982,,,,,,,
965,199,181.793,2.2,-51.30120,-72.67985,,,,,,,
966,204,186.361,2.1,-51.30123,-72.67990,,,,,,,
967,209,190.929,2,-51.30127,-72.67993,,,,,,,
968,214,195.496,1.9,-51.30130,-72.67998,,,,,,,
969,219,200.064,1.8,-51.30135,-72.68000,,,,,,,
970,224,204.632,1.8,-51.30135,-72.68005,,,,,,,
971,229,209.199,1.7,-51.30135,-72.68005,,,,,,,
972,234,213.767,1.6,-51.30145,-72.68013,,,,,,,
973,239,218.335,1.4,-51.30147,-72.68020,,,,,,,
974,244,222.902,1.3,-51.30150,-72.68023,,,,,,,
975,249,227.47,1.3,-51.30153,-72.68028,,,,,,,
976,254,232.038,1.1,-51.30157,-72.68033,,,,,,,
977,259,236.605,0.9,-51.30160,-72.68038,,,,,,,
978,264,241.173,0.6,-51.30163,-72.68043,,,,,,,
979,266,243,0.5,-51.30163,-72.68045,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
